iter	Passed	Remaining
416	2867	4009
417	2874	4002
418	2881	3995
419	2888	3988
420	2896	3983
421	2904	3977
422	2910	3969
423	2917	3963
424	2924	3957
425	2932	3950
426	2940	3945
427	2948	3940
428	2954	3932
429	2961	3926
430	2970	3921
431	2977	3915
432	2984	3907
433	2993	3904
434	3000	3897
435	3010	3893
436	3015	3885
437	3023	3879
438	3029	3870
439	3034	3861
440	3041	3854
441	3046	3845
442	3053	3839
443	3058	3830
444	3065	3822
445	3071	3815
446	3076	3806
447	3083	3799
448	3088	3790
449	3093	3780
450	3100	3773
451	3104	3764
452	3110	3756
453	3116	3748
454	3121	3738
455	3128	3732
456	3134	3724
457	3140	3715
458	3145	3707
459	3150	3698
460	3157	3691
461	3162	3682
462	3167	3674
463	3174	3667
464	3179	3658
465	3186	3651
466	3191	3642
467	3196	3633
468	3203	3627
469	3208	3618
470	3214	3610
471	3220	3603
472	3225	3593
473	3231	3586
474	3236	3577
475	3241	3568
476	3248	3562
477	3253	3553
478	3259	3545
479	3265	3537
480	3270	3528
481	3277	3522
482	3282	3513
483	3287	3504
484	3294	3497
485	3299	3489
486	3304	3480
487	3310	3473
488	3315	3464
489	3321	3457
490	3327	3449
491	3332	3440
492	3339	3434
493	3344	3425
494	3349	3417
495	3356	3410
496	3360	3401
497	3367	3394
498	3372	3386
499	3377	3377
500	3384	3370
501	3388	3361
502	3395	3354
503	3401	3347
504	3406	3339
505	3413	3332
506	3417	3323
507	3423	3315
508	3429	3308
509	3434	3299
510	3441	3292
511	3446	3284
512	3450	3276
513	3457	3269
514	3462	3260
515	3467	3252
516	3473	3245
517	3478	3236
518	3485	3230
519	3490	3222
520	3495	3213
521	3502	3207
522	3507	3198
523	3512	3190
524	3518	3183
525	3523	3175
526	3529	3168
527	3535	3160
528	3539	3151
529	3546	3144
530	3551	3136
531	3556	3128
532	3563	3122
533	3567	3113
534	3573	3106
535	3579	3098
536	3584	3090
537	3591	3083
538	3596	3075
539	3601	3067
540	3608	3061
541	3612	3052
542	3619	3046
543	3625	3038
544	3629	3030
545	3636	3023
546	3641	3015
547	3648	3009
548	3655	3002
549	3660	2994
550	3666	2987
551	3671	2979
552	3676	2971
553	3683	2965
554	3688	2957
555	3695	2950
556	3700	2943
557	3705	2935
558	3712	2928
559	3717	2920
560	3722	2912
561	3728	2905
562	3733	2897
563	3739	2890
564	3745	2883
565	3750	2876
566	3757	2869
567	3762	2861
568	3763	2850
569	3771	2844
570	3776	2837
571	3781	2829
572	3788	2823
573	3793	2815
574	3800	2809
575	3805	2801
576	3812	2795
577	3818	2787
578	3823	2779
579	3831	2774
580	3836	2766
581	3842	2759
582	3848	2752
583	3853	2744
584	3859	2737
585	3864	2730
586	3869	2722
587	3875	2715
588	3880	2707
589	3886	2700
590	3892	2694
591	3898	2686
592	3905	2680
593	3911	2673
594	3917	2666
595	3923	2659
596	3928	2651
597	3934	2645
598	3940	2637
599	3944	2629
600	3951	2623
601	3956	2615
602	3962	2608
603	3968	2601
604	3972	2593
605	3979	2587
606	3984	2579
607	3989	2572
608	3996	2566
609	4001	2558
610	4008	2551
611	4014	2544
612	4018	2537
613	4026	2531
614	4031	2523
615	4036	2516
616	4042	2509
617	4047	2501
618	4054	2495
619	4059	2488
620	4063	2480
