iter	RMSE
342	2171.519885
343	2170.918586
344	2170.296638
345	2169.702357
346	2169.018061
347	2168.379149
348	2167.843029
349	2167.485018
350	2167.021038
351	2166.507212
352	2166.017131
353	2165.444289
354	2165.228151
355	2165.20446
356	2164.792698
357	2164.47185
358	2163.513279
359	2162.739082
360	2162.295333
361	2161.86074
362	2161.346074
363	2161.04427
364	2160.672821
365	2159.977932
366	2159.437258
367	2158.67094
368	2158.249019
369	2157.663675
370	2157.313982
371	2156.989703
372	2156.378542
373	2155.844474
374	2155.29221
375	2155.003891
376	2154.427511
377	2154.013314
378	2153.538613
379	2153.053594
380	2152.741309
381	2152.248823
382	2151.445888
383	2151.12293
384	2150.597098
385	2150.264902
386	2149.700795
387	2149.297951
388	2148.733998
389	2148.093729
390	2147.79412
391	2147.619774
392	2147.319864
393	2146.857796
394	2146.500937
395	2146.168902
396	2145.66318
397	2145.591472
398	2145.256945
399	2144.966534
400	2144.80638
401	2144.224586
402	2143.892535
403	2143.591263
404	2143.320007
405	2143.020264
406	2142.505937
407	2142.47878
408	2141.939495
409	2141.393394
410	2140.88393
411	2140.64541
412	2140.175565
413	2139.758978
414	2139.33305
415	2139.308367
416	2138.733505
417	2138.388013
418	2137.754902
419	2137.684361
420	2136.849413
421	2136.466432
422	2136.105119
423	2135.871055
424	2135.421538
425	2135.074682
426	2134.835924
427	2134.477578
428	2134.015725
429	2133.75957
430	2133.360262
431	2133.114743
432	2132.660059
433	2132.374585
434	2131.787952
435	2131.398329
436	2130.935914
437	2130.440263
438	2129.887845
439	2129.59878
440	2129.136184
441	2128.687073
442	2128.482284
443	2128.45654
444	2128.068894
445	2127.754231
446	2127.373209
447	2126.500492
448	2126.144693
449	2125.785397
450	2125.461266
451	2124.972071
452	2124.601754
453	2123.974467
454	2123.609004
455	2123.318658
456	2122.981656
457	2122.590699
458	2122.174954
459	2121.678231
460	2120.557722
461	2120.075263
462	2119.556127
463	2119.165634
464	2119.14659
465	2118.814188
466	2118.649272
467	2118.133258
468	2117.775645
469	2117.441167
470	2117.219608
471	2116.838292
472	2116.53223
473	2116.469996
474	2116.057835
475	2115.807161
476	2115.510991
477	2115.042419
478	2114.648946
479	2114.438088
480	2113.771189
481	2113.368734
482	2113.056815
483	2112.652046
484	2112.333451
485	2112.103967
486	2111.752949
487	2111.444497
488	2111.024714
489	2110.73595
490	2110.331145
491	2110.019274
492	2109.776402
493	2109.703613
494	2109.325875
495	2109.303571
496	2108.910213
497	2108.581839
498	2108.351374
499	2107.94123
